id,logMstar_Chab,SFR_Chab,id,SFR__Msol_per_yr,SFR_err,Mstar__Msol,Mstar_err,Lbolo__Lsol,Lbolo_err,Lold_unatt__Lsol,Lold_unatt_err,Lyoung_unatt__Lsol,Lyoung_unatt_err,Lold_abs__Lsol,Lyoung_abs__Lsol,Afuv,Afuv_err,Av_b90,Av_b90_err,Mdust__Msol,Mdust_err,Ldust__Lsol,Ldust_err,Umin,Umin_err,Tdust__K,Tdust_err,qpah,qpah_err,gamma,gamma_err
NGC0628,9.95,1.58,NGC0628,2.5069999999999997,0.4424,15150000000.0,2547000000.0,39790000000.0,2380000000.0,29940000000.0,1497000000.0,9854000000.0,1739000000.0,6005000000.0,5763000000.0,1.119,0.16699999999999998,0.243,0.057999999999999996,85110000.0,21230000.0,12390000000.0,2440000000.0,0.9590000000000001,0.6459999999999999,18.172,2.041,5.867000000000001,1.157,0.009000000000000001,0.006999999999999999
NGC3184,10.0,0.98,NGC3184,1.5530000000000002,0.1427,17150000000.0,2994000000.0,28880000000.0,1444000000.0,22770000000.0,1139000000.0,6105000000.0,560900000.0,4128000000.0,2887000000.0,0.9940000000000001,0.142,0.217,0.04,45040000.0,4668000.0,7407000000.0,596900000.0,0.9229999999999999,0.195,18.055999999999997,0.636,1.07,0.221,0.015,0.003
NGC3938,10.2,2.34,NGC3938,3.7110000000000003,0.4199,26670000000.0,6273000000.0,57710000000.0,2885000000.0,43120000000.0,2156000000.0,14590000000.0,1650000000.0,8552000000.0,8431000000.0,1.097,0.10800000000000001,0.24100000000000002,0.046,76760000.0,7566000.0,17720000000.0,1328000000.0,1.339,0.308,19.212,0.737,2.8310000000000004,0.38,0.013999999999999999,0.003
NGC4254,9.92,3.37,NGC4254,5.351,0.5371,14230000000.0,2560000000.0,60170000000.0,3008000000.0,39140000000.0,2045000000.0,21030000000.0,2111000000.0,16810000000.0,16190000000.0,2.097,0.132,0.515,0.091,56160000.0,2808000.0,32300000000.0,1615000000.0,3.492,0.175,22.541,0.188,4.758,0.787,0.008,0.004
NGC4321,10.48,3.46,NGC4321,5.4910000000000005,1.207,51630000000.0,12510000000.0,115000000000.0,5752000000.0,93450000000.0,4673000000.0,21580000000.0,4744000000.0,27490000000.0,14350000000.0,1.93,0.20800000000000002,0.39,0.061,106100000.0,13460000.0,42510000000.0,3759000000.0,2.428,0.6859999999999999,21.215999999999998,0.9990000000000001,4.0680000000000005,0.8,0.012,0.005
NGC4535,10.27,1.6,NGC4535,2.54,0.2688,31400000000.0,6604000000.0,49080000000.0,2454000000.0,39100000000.0,1955000000.0,9981000000.0,1056000000.0,8486000000.0,6396000000.0,1.35,0.14400000000000002,0.301,0.054000000000000006,71880000.0,4510000.0,15060000000.0,753100000.0,1.204,0.11599999999999999,18.875,0.302,4.283,1.032,0.012,0.005
NGC5055,10.55,1.49,NGC5055,2.366,0.7272,60370000000.0,10830000000.0,76100000000.0,3805000000.0,66800000000.0,3340000000.0,9300000000.0,2858000000.0,13250000000.0,9953000000.0,2.021,0.22699999999999998,0.467,0.083,109400000.0,17070000.0,25000000000.0,1963000000.0,1.501,0.39,19.582,0.8490000000000001,4.785,0.857,0.005,0.003
NGC5194,,,NGC5194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC5457,9.95,3.07,NGC5457,4.8660000000000005,0.2545,15020000000.0,2503000000.0,62000000000.0,3100000000.0,42870000000.0,2144000000.0,19120000000.0,1000000000.0,9698000000.0,11670000000.0,1.087,0.08199999999999999,0.231,0.038,109700000.0,14090000.0,21550000000.0,1078000000.0,1.308,0.278,19.139,0.6779999999999999,4.503,0.674,0.003,0.002
NGC7331,10.77,2.49,NGC7331,3.9589999999999996,1.3,100100000000.0,18710000000.0,118600000000.0,5929000000.0,103000000000.0,5151000000.0,15560000000.0,5108000000.0,23440000000.0,24650000000.0,2.7239999999999998,0.281,0.636,0.077,148900000.0,10530000.0,46430000000.0,2321000000.0,1.99,0.099,20.523000000000003,0.171,3.8569999999999998,0.37200000000000005,0.005,0.002
