id,logMstar_Chab,SFR_Chab,id,SFR__Msol_per_yr,SFR_err,Mstar__Msol,Mstar_err,Lbolo__Lsol,Lbolo_err,Lold_unatt__Lsol,Lold_unatt_err,Lyoung_unatt__Lsol,Lyoung_unatt_err,Lold_abs__Lsol,Lyoung_abs__Lsol,Afuv,Afuv_err,Av_b90,Av_b90_err,Mdust__Msol,Mdust_err,Ldust__Lsol,Ldust_err,Umin,Umin_err,Tdust__K,Tdust_err,qhac,qhac_err,gamma,gamma_err
NGC0628,9.92,1.52,NGC0628,2.41,0.4546,14090000000.0,2340000000.0,38550000000.0,2347000000.0,29080000000.0,1454000000.0,9473000000.0,1787000000.0,5133000000.0,6582000000.0,1.092,0.18100000000000002,0.22899999999999998,0.054000000000000006,37630000.0,11740000.0,11710000000.0,2353000000.0,1.554,1.001,19.75,2.198,0.147,0.038,0.008,0.006999999999999999
NGC3184,10.0,1.04,NGC3184,1.656,0.211,17150000000.0,2722000000.0,29570000000.0,1478000000.0,23060000000.0,1153000000.0,6508000000.0,829200000.0,3599000000.0,4417000000.0,1.064,0.136,0.222,0.04,15350000.0,2218000.0,8015000000.0,847300000.0,2.559,0.732,21.52,1.063,0.02,0.001,0.006,0.002
NGC3938,10.25,2.58,NGC3938,4.095,0.4993,30000000000.0,7923000000.0,58460000000.0,2923000000.0,42370000000.0,2118000000.0,16090000000.0,1962000000.0,7219000000.0,11690000000.0,1.2,0.102,0.22399999999999998,0.055,27460000.0,3494000.0,18910000000.0,1380000000.0,3.233,0.574,22.41,0.687,0.067,0.015,0.005,0.002
NGC4254,9.9,3.25,NGC4254,5.152,0.5076,13380000000.0,2269000000.0,58150000000.0,2907000000.0,37900000000.0,1895000000.0,20250000000.0,1995000000.0,12920000000.0,17780000000.0,2.082,0.146,0.48100000000000004,0.07200000000000001,22300000.0,1115000.0,30700000000.0,1535000000.0,5.996,0.3,24.94,0.215,0.098,0.012,0.006999999999999999,0.003
NGC4321,10.46,3.78,NGC4321,6.004,1.159,49480000000.0,10990000000.0,116600000000.0,5828000000.0,92970000000.0,4648000000.0,23590000000.0,4556000000.0,24660000000.0,20000000000.0,1.976,0.184,0.392,0.064,37040000.0,4046000.0,44660000000.0,3649000000.0,5.537000000000001,0.972,24.59,0.745,0.094,0.019,0.005,0.004
NGC4535,10.24,1.56,NGC4535,2.483,0.2738,29300000000.0,6690000000.0,47600000000.0,2380000000.0,37850000000.0,1892000000.0,9757000000.0,1076000000.0,7505000000.0,6875000000.0,1.345,0.13,0.28300000000000003,0.05,29230000.0,2148000.0,14380000000.0,719000000.0,2.056,0.28800000000000003,20.73,0.501,0.09699999999999999,0.027000000000000003,0.011000000000000001,0.005
NGC5055,10.54,1.55,NGC5055,2.463,0.7356,59370000000.0,10780000000.0,74690000000.0,3735000000.0,65020000000.0,3251000000.0,9679000000.0,2891000000.0,16100000000.0,8162000000.0,2.05,0.23199999999999998,0.44,0.075,44980000.0,8212000.0,24260000000.0,1868000000.0,2.612,0.737,21.6,1.053,0.11,0.02,0.002,0.002
NGC5194,,,NGC5194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC5457,9.92,2.99,NGC5457,4.75,0.2375,14160000000.0,1869000000.0,60440000000.0,3022000000.0,41770000000.0,2089000000.0,18670000000.0,933400000.0,7900000000.0,12980000000.0,1.091,0.085,0.221,0.036000000000000004,47010000.0,5163000.0,20880000000.0,1044000000.0,2.1180000000000003,0.405,20.83,0.688,0.10400000000000001,0.013000000000000001,0.001,0.001
NGC7331,10.74,2.69,NGC7331,4.276,1.308,94130000000.0,18470000000.0,116200000000.0,5812000000.0,99430000000.0,4972000000.0,16810000000.0,5140000000.0,31220000000.0,14820000000.0,2.803,0.28,0.612,0.078,61490000.0,3075000.0,46040000000.0,2302000000.0,3.4989999999999997,0.175,22.72,0.196,0.1,0.005,0.001,0.001
